ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,strata_one_code,strata_one_name,strata_two_code,strata_two_name,numerator,denominator,estimate,ll_95ci,ul_95ci,se,rse,ca_decile,ca_rr,version
75,Modified retail food environment index,2017,9,Total,CO,6051,Mono,Mono,6051,Central/Southeast Sierra,3,,,,,6,28,21.42857143,6.229887275,36.62725558,7.754430691,36.18734322,,1.197908859,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6053,Monterey,Monterey,6053,Monterey Bay,4,,,,,157,623,25.20064205,21.79132975,28.60995436,1.739445053,6.902383874,,1.408776711,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6055,Napa,Napa,6055,Bay Area,1,,,,,47,219,21.46118721,16.02363987,26.89873456,2.77425885,12.92686571,,1.19973216,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6057,Nevada,Nevada,6057,Northeast Sierra,6,,,,,23,127,18.11023622,11.41245315,24.80801929,3.417236262,18.86908719,,1.012405913,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6059,Orange,Orange,6059,Southern California,14,,,,,615,4725,13.01587302,12.05644627,13.97529976,0.489503442,3.760819124,,0.727618715,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6061,Placer,Placer,6061,Sacramento Area,8,,,,,86,619,13.89337641,11.1685871,16.61816573,1.390198631,10.00619713,,0.776673272,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6063,Plumas,Plumas,6063,Northeast Sierra,6,,,,,8,38,21.05263158,8.090205364,34.01505779,6.613482763,31.41404312,,1.176892914,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6065,Riverside,Riverside,6065,Southern California,14,,,,,427,2608,16.37269939,14.95254205,17.79285672,0.724570069,4.42547714,,0.91527341,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6067,Sacramento,Sacramento,6067,Sacramento Area,8,,,,,368,2045,17.99511002,16.33013952,19.66008053,0.849474746,4.720586562,,1.00597008,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6069,San Benito,San Benito,6069,Monterey Bay,4,,,,,20,79,25.3164557,15.7278284,34.90508299,4.892156782,19.32401929,,1.415250973,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6071,San Bernardino,San Bernardino,6071,Southern California,14,,,,,426,2684,15.87183308,14.48938423,17.25428194,0.705331047,4.44391674,,0.887273775,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6073,San Diego,San Diego,6073,San Diego,9,,,,,760,4597,16.53252121,15.45866283,17.60637959,0.54788693,3.313995021,,0.924207836,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6075,San Francisco,San Francisco,6075,Bay Area,1,,,,,272,1614,16.85254027,15.02628499,18.67879556,0.9317629,5.528916622,,0.942097674,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6077,San Joaquin,San Joaquin,6077,San Joaquin Valley,10,,,,,220,981,22.42609582,19.81600134,25.03619031,1.33168086,5.938086016,,1.25367288,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6079,San Luis Obispo,San Luis Obispo,6079,San Luis Obispo,11,,,,,78,486,16.04938272,12.78591703,19.3128484,1.665033512,10.37443958,,0.897199228,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6081,San Mateo,San Mateo,6081,Bay Area,1,,,,,198,1059,18.69688385,16.3486232,21.04514451,1.198092172,6.40797783,,1.045200931,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6083,Santa Barbara,Santa Barbara,6083,Santa Barbara,12,,,,,130,616,21.1038961,17.88153049,24.32626171,1.644064086,7.79033444,,1.179758725,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6085,Santa Clara,Santa Clara,6085,Bay Area,1,,,,,384,2360,16.27118644,14.7820066,17.76036628,0.759785634,4.669515878,,0.909598591,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6087,Santa Cruz,Santa Cruz,6087,Monterey Bay,4,,,,,78,397,19.64735516,15.73882962,23.5558807,1.994145683,10.14969021,,1.098334571,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6089,Shasta,Shasta,6089,Shasta,13,,,,,54,292,18.49315068,14.04000244,22.94629893,2.272014409,12.28570754,,1.033811755,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6091,Sierra,Sierra,6091,Northeast Sierra,6,,,,,1,3,33.33333333,0,86.67777662,27.2165527,81.64965809,,1.863413781,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6093,Siskiyou,Siskiyou,6093,Northeast Sierra,6,,,,,17,81,20.98765432,12.11930093,29.85600771,4.524670097,21.55872223,,1.173260529,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6095,Solano,Solano,6095,Bay Area,1,,,,,108,652,16.56441718,13.71079806,19.41803629,1.45592812,8.789491981,,0.925990897,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6097,Sonoma,Sonoma,6097,Bay Area,1,,,,,143,750,19.06666667,16.25524142,21.87809191,1.434400636,7.52308026,,1.065872683,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6099,Stanislaus,Stanislaus,6099,San Joaquin Valley,10,,,,,161,762,21.12860892,18.2301057,24.02711215,1.478828178,6.999174356,,1.181140231,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6101,Sutter,Sutter,6101,Sacramento Area,8,,,,,34,154,22.07792208,15.52696021,28.62888395,3.342327485,15.13877743,,1.234209128,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6103,Tehama,Tehama,6103,Northern Sacramento Valley,7,,,,,15,72,20.83333333,11.45252238,30.21414429,4.786128039,22.97341459,,1.164633613,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6105,Trinity,Trinity,6105,North Coast,5,,,,,5,18,27.77777778,7.085705248,48.46985031,10.55717986,38.0058475,,1.552844818,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6107,Tulare,Tulare,6107,San Joaquin Valley,10,,,,,175,638,27.42946708,23.96740722,30.89152695,1.766357073,6.439633216,,1.533373409,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6109,Tuolumne,Tuolumne,6109,Central/Southeast Sierra,3,,,,,12,75,16,7.702923889,24.29707611,4.233202098,26.45751311,,0.894438615,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6111,Ventura,Ventura,6111,Southern California,14,,,,,206,1193,17.26739313,15.12258922,19.41219703,1.094287708,6.337306971,,0.965288949,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6113,Yolo,Yolo,6113,Sacramento Area,8,,,,,74,317,23.34384858,18.68706372,28.00063344,2.375910645,10.17788749,,1.304977474,11/15/2017
75,Modified retail food environment index,2017,9,Total,CO,6115,Yuba,Yuba,6115,Sacramento Area,8,,,,,27,97,27.83505155,18.91578029,36.7543228,4.5506486,16.34862645,,1.556046559,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400100,4001,Alameda,6001,Bay Area,1,,,,,1,4,25,0,67.43524479,21.65063509,86.60254038,,1.397560336,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400200,4002,Alameda,6001,Bay Area,1,,,,,7,31,22.58064516,7.861988611,37.29930171,7.509518648,33.25643973,,1.262312561,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400300,4003,Alameda,6001,Bay Area,1,,,,,11,55,20,9.428546157,30.57145384,5.3935989,26.9679945,,1.118048269,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400400,4004,Alameda,6001,Bay Area,1,,,,,8,40,20,7.603871572,32.39612843,6.32455532,31.6227766,,1.118048269,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400500,4005,Alameda,6001,Bay Area,1,,,,,9,35,25.71428571,11.23450671,40.19406472,7.387642349,28.72972025,,1.437490631,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400600,4006,Alameda,6001,Bay Area,1,,,,,6,29,20.68965517,5.946222268,35.43308808,7.522159645,36.35710495,,1.156601657,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400700,4007,Alameda,6001,Bay Area,1,,,,,15,47,31.91489362,18.58797017,45.24181707,6.79945074,21.30494565,,1.784119578,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001400800,4008,Alameda,6001,Bay Area,1,,,,,15,49,30.6122449,17.70757085,43.51691894,6.584017371,21.50779008,,1.71129837,11/15/2017
